8001,Other,waste,audits
8002,Product-Producer,chairs,company
8003,Instrument-Agency,stick,master
8004,Other,reservoir,body
8005,Cause-Effect,strains,disease
8006,Other,Other,Other
8007,Other,lie,child
8008,Other,call,users
8009,Other,Other,Other
8010,Other,disease,thesis
8011,Other,houses,survivors
8012,Product-Producer,advice,maker
8013,Entity-Destination,names,space
8014,Product-Producer,landscape,company
8015,Other,friend,category
8016,Other,Other,Other
8017,Component-Whole,actress,airport
8018,Other,internet,works
8019,Member-Collection,beasts,zoo
8020,Other,Brazilian,song
8021,Message-Topic,outline,esotericism
8022,Content-Container,bomb,suitcase
8023,Product-Producer,loans,company
8024,Other,Other,Other
8025,Entity-Origin,oil,sesame
8026,Product-Producer,housing,developer
8027,Member-Collection,workers,team
8028,Other,Other,Other
8029,Other,museums,drawings
8030,Other,mixture,epochs
8031,Other,Other,Other
8032,Other,Other,Other
8033,Component-Whole,steps,stairs
8034,Other,mouth,blisters
8035,Other,luff,man
8036,Component-Whole,amplifier,circuit
8037,Instrument-Agency,critics,leader
8038,Other,Other,Other
8039,Member-Collection,sperm,pod
8040,Cause-Effect,parasite,Roundworms
8041,Other,Other,Other
8042,Component-Whole,paw,cat
8043,Other,Other,Other
8044,Entity-Destination,oil,ocean
8045,Member-Collection,talent,wave
8046,Entity-Destination,coins,clear
8047,Content-Container,space,drawer
8048,Other,inside,bottle
8049,Message-Topic,programs,violence
8050,Component-Whole,interplay,narrative
8051,Entity-Destination,acid,eyes
8052,Component-Whole,canvases,room
8053,Member-Collection,magpies,gulp
8054,Other,Other,Other
8055,Other,conviction,murders
8056,Member-Collection,monkeys,group
8057,Other,blog,opinions
8058,Component-Whole,movement,outside
8059,Product-Producer,diamond,colliers
8060,Other,houses,door
8061,Entity-Origin,wine,fruit
8062,Product-Producer,text,scribe
8063,Other,magic,witch
8064,Other,committee,organisation
8065,Entity-Destination,clock,presentations
8066,Other,Other,Other
8067,Other,combination,vinegar
8068,Other,Other,Other
8069,Other,technology,authors
8070,Product-Producer,comments,responsiblity
8071,Component-Whole,president,university
8072,Other,Other,Other
8073,Other,crew,slide
8074,Other,inspector,yard
8075,Message-Topic,regulations,force
8076,Entity-Origin,questions,press
8077,Other,children,exile
8078,Other,bar,father
8079,Entity-Destination,rebound,net
8080,Other,Other,Other
8081,Other,safetybar,passenger
8082,Other,chair,leg
8083,Other,fatigue,musclepain
8084,Component-Whole,claw,hammer
8085,Other,order,magazine
8086,Member-Collection,cards,deck
8087,Other,illness,films
8088,Other,publication,software
8089,Other,shoulder,nectar
8090,Other,debate,volume
8091,Other,defendant,custody
8092,Other,Other,Other
8093,Content-Container,cheese,dish
8094,Content-Container,castle,museum
8095,Entity-Destination,clubs,ownership
8096,Other,man,car
8097,Message-Topic,section,results
8098,Component-Whole,drawer,coffeemaker
8099,Entity-Destination,tube,container
8100,Other,democracy,questions
8101,Other,Other,Other
8102,Other,data,station
8103,Entity-Origin,offenders,officers
8104,Other,Other,Other
8105,Entity-Origin,oil,hurricane
8106,Other,adults,studies
8107,Cause-Effect,genemutations,diseases
8108,Other,Other,Other
8109,Entity-Origin,growth,crown
8110,Other,Other,Other
8111,Other,Other,Other
8112,Content-Container,cat,live
8113,Other,dance,stories
8114,Other,Other,Other
8115,Other,air,smell
8116,Other,Other,Other
8117,Product-Producer,lines,author
8118,Other,tone,receiver
8119,Member-Collection,heavily,squad
8120,Other,Other,Other
8121,Entity-Destination,pulp,tub
8122,Other,boats,things
8123,Cause-Effect,samples,cow
8124,Other,blog,novel
8125,Message-Topic,speech,education
8126,Entity-Origin,flour,rice
8127,Other,passenger,body
8128,Other,threatened,disaster
8129,Component-Whole,sheep,farm
8130,Content-Container,laptop,bag
8131,Other,Other,Other
8132,Other,happiness,tales
8133,Other,toads,birds
8134,Other,company,home
8135,Other,Other,Other
8136,Other,Other,Other
8137,Member-Collection,animals,bladder
8138,Member-Collection,asses,coffle
8139,Entity-Origin,coloring,coat
8140,Other,Other,Other
8141,Instrument-Agency,wire,electrician
8142,Other,epochs,adjustment
8143,Other,Other,Other
8144,Entity-Origin,parents,station
8145,Other,Other,Other
8146,Other,Other,Other
8147,Content-Container,boots,box
8148,Entity-Destination,attractions,tourists
8149,Other,guy,car
8150,Other,Other,Other
8151,Product-Producer,design,wife
8152,Other,Other,Other
8153,Member-Collection,rabbits,litter
8154,Other,Other,Other
