8001,Component-Whole,elements,configuration
8002,Other,child,cradle
8003,Instrument-Agency,disassembler,author
8004,Other,ridge,surge
8005,Member-Collection,student,association
8006,Other,complex,producer
8007,Cause-Effect,infection,inflammation
8008,Entity-Destination,People,downtown
8009,Content-Container,lawsonite,platinumcrucible
8010,Entity-Destination,solvent,flask
8011,Member-Collection,essays,volume
8012,Other,composer,oblivion
8013,Message-Topic,citation,reasons
8014,Cause-Effect,pressure,burst
8015,Instrument-Agency,high-definitionbroadcast,networks
8016,Message-Topic,call,bill
8017,Instrument-Agency,instrument,virtuoso
8018,Product-Producer,trays,factory
8019,Component-Whole,blossom,tree
8020,Member-Collection,grenadiers,battalion
8021,Entity-Origin,knowledge,recruits
8022,Member-Collection,hounds,stable
8023,Cause-Effect,singer,commotion
8024,Other,essays,history
8025,Member-Collection,grouse,brace
8026,Other,dress,blend
8027,Cause-Effect,Suicide,death
8028,Message-Topic,article,music
8029,Message-Topic,meeting,ruralhistory
8030,Component-Whole,timer,device
8031,Message-Topic,phonecall,offer
8032,Cause-Effect,mold,headaches
8033,Product-Producer,country,father
8034,Entity-Destination,stack,carton
8035,Component-Whole,plumbing,manorhouse
8036,Entity-Origin,electricity,systems
8037,Other,plan,resistance
8038,Component-Whole,counties,provinces
8039,Cause-Effect,stress,divorce
8040,Instrument-Agency,service,Newspapers
8041,Cause-Effect,women,accident
8042,Content-Container,transmitter,suite
8043,Member-Collection,lagoons,chain
8044,Entity-Origin,student,jail
8045,Cause-Effect,skinabnormality,Calluses
8046,Instrument-Agency,drugs,Adults
8047,Instrument-Agency,elicitation,councilor
8048,Other,notes,statements
8049,Other,diamond,colliers
8050,Cause-Effect,bombexplosion,radiation
8051,Component-Whole,tiller,boat
8052,Cause-Effect,radiation,recurrence
8053,Cause-Effect,stitches,scars
8054,Member-Collection,toads,knob
8055,Message-Topic,discourse,participation
8056,Other,silver,ring
8057,Message-Topic,debate,value
8058,Content-Container,dress,trunk
8059,Other,disagreement,causalpart
8060,Entity-Destination,feet,ball
8061,Content-Container,boxcutters,box
8062,Member-Collection,dragons,wing
8063,Entity-Destination,cowpea,doublebags
8064,Other,brucellosis,cow
8065,Other,rout,hosts
8066,Entity-Origin,princess,island
8067,Message-Topic,story,point
8068,Entity-Destination,milk,pumpkinmixture
